2016-12-07 14:31:37 [http-nio-8080-exec-1] INFO  org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1472202047,1474180035] that contained an invalid cookie. That cookie will be ignored.Note: further occurrences of this error will be logged at DEBUG level.
2016-12-07 14:31:37 [http-nio-8080-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2016-12-07 14:31:37 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2016-12-07 14:31:37 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 27 ms
2016-12-07 14:31:41 [http-nio-8080-exec-4] INFO  net.codog.service.SearchCategoryService - SearchCategoryService
2016-12-07 14:31:41 [http-nio-8080-exec-3] INFO  net.codog.service.NewsService - start is null,end is null
2016-12-07 14:31:41 [http-nio-8080-exec-3] INFO  net.codog.dao.selectsql.SelectSqlProvider - sql is select * from news where 1
2016-12-07 14:31:42 [http-nio-8080-exec-4] INFO  net.codog.web.SearchCategoryController - 获取的全部搜索类型是[SearchCategory(search_category_id=0, search_category_name=博客), SearchCategory(search_category_id=1, search_category_name=娱乐视频)]
2016-12-07 14:31:42 [http-nio-8080-exec-3] INFO  net.codog.web.NewsController - 获取的全部新闻是[News(news_id=1, news_title=news1, news_content=this is news, news_publish_time=Sat Nov 26 00:00:00 CST 2016, news_modify_time=Sat Nov 26 00:00:00 CST 2016, news_url=www.baidu.com, news_type=null), News(news_id=2, news_title=news2, news_content=this is news2, news_publish_time=Sat Nov 26 00:00:00 CST 2016, news_modify_time=Sat Nov 26 00:00:00 CST 2016, news_url=www.baidu.com, news_type=null)]
2016-12-07 14:31:42 [http-nio-8080-exec-5] INFO  net.codog.service.AdvertiseService - AdvertiseService
2016-12-07 14:31:42 [http-nio-8080-exec-6] INFO  net.codog.service.RecommandService - recommandService
2016-12-07 14:31:42 [http-nio-8080-exec-5] INFO  net.codog.web.AdvertiseController - 全部数据是[Advertise(advertise_link=www.aliyun.com, advertise_picture=images/inc/1.gif), Advertise(advertise_link=www.baidu.com, advertise_picture=images/inc/1.gif)]
2016-12-07 14:31:42 [http-nio-8080-exec-6] INFO  net.codog.web.RecommandController - 全部数据是[Recommand(recommand_link=www.baidu.com, recommand_picture=001), Recommand(recommand_link=www.baidu.com2, recommand_picture=002), Recommand(recommand_link=www.baidu.com3, recommand_picture=003)]
2016-12-07 14:33:39 [main] INFO  net.codog.ProjectApplication - Starting ProjectApplication on wenhanwang with PID 8672 (started by CreditEase in E:\我的项目\GitHub\personal-blog-webiste\project)
2016-12-07 14:33:39 [main] INFO  net.codog.ProjectApplication - The following profiles are active: prod
2016-12-07 14:33:40 [main] INFO  org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5562c41e: startup date [Wed Dec 07 14:33:40 CST 2016]; root of context hierarchy
2016-12-07 14:33:41 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2016-12-07 14:33:42 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$388afff5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-12-07 14:33:43 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 80 (http)
